"species"	"Basigaster proportion"	"Central ampulla length (um)"	"Central ampulla width (um)"	"Cnidoband depth (um)"	"?Cnidoband desmoneme length (um)"	"Cnidoband desmoneme length (um)"	"Cnidoband desmoneme number"	"?Cnidoband desmoneme width (um)"	"Cnidoband desmoneme width (um)"	"Cnidoband length (um)"	"Cnidoband width (um)"	"Cnidosac length (um)"	"Cnidosac width (um)"	"Colony length (cm)"	"Depth (m)"	"Desmoneme length (um)"	"Desmoneme/Rhopaloneme ratio"	"Desmonemes/Rhopalonemes"	"Desmoneme width (um)"	"Distal ampulla length (um)"	"Distal ampulla sidebranch length (um)"	"Distal ampulla width (um)"	"Distal haploneme length (um)"	"Distal haploneme width (um)"	"Distal heteroneme length (um)"	"Distal heteroneme width (um)"	"Fishing cycle frequency (times/hour)"	"Gastrozooid length (fixed) (mm)"	"Gastrozooid length (mm)"	"Haploneme length (um)"	"Haploneme number"	"Haploneme width (um)"	"Heteroneme length (um)"	"Heteroneme number"	"Heteroneme shaft length (um)"	"Heteroneme shaft width (um)"	"Heteroneme spine length (um)"	"Heteroneme thread width (um)"	"Heteroneme tubule width (um)"	"Heteroneme volume (ul)"	"Heteroneme width (um)"	"Heteronme width (um)"	"Involucrum cover (%)"	"Involucrum cover (coils)"	"Involucrum length (um)"	"Involucrum pigment dots fluorescence peak (nm)"	"Involucrum pigment stripe fluorescence peak (nm)"	"Nauplii ingestion rate"	"Nematocysts per battery"	"Night/Day feeding rate"	"Normal swimming speed (cm/s)"	"Number of coils"	"Number of gastrozooid rows per spiral"	"Number of gastrozooids"	"Number of haploneme rows"	"Number of hepatic stripes"	"Number of heteroneme filament swellings"	"Number of heteroneme rows (distal cnidoband) per side"	"Number of heteroneme rows (middle cnidoband) per side"	"Number of heteroneme rows (middle-distal cnidoband) per side"	"Number of heteroneme rows per side"	"Number of heteroneme rows per side (distal cnidoband)"	"Number of heteroneme rows per side (proximal cnidoband)"	"Number of heteroneme rows (proximal cnidoband) per side"	"Number of rhopaloneme rows"	"Number of serial patches"	"Number of terminal filaments"	"Number of zags"	"Number of zags with heteronemes"	"Pedicle length (um)"	"Pedicle width (um)"	"Peduncle/Gastrozooid length"	"Peduncle length (mm)"	"Platelet length"	"Prey length (mm)"	"Prey number/Gastrozooid number (%)"	"Proximal haploneme length (um)"	"Proximal haploneme width (um)"	"Proximal heteroneme length (um)"	"Relative chaetognath consumption"	"Relative copepod consumption"	"Relative decapod consumption"	"Relative fish consumption"	"Relative gelatinous consumption"	"Relative mollusc consumption"	"Rhopaloneme length (um)"	"Rhopaloneme tubule length (um)"	"Rhopaloneme width (um)"	"Sinker nematocyst length (um)"	"Sinker nematocyst width (um)"	"Sinker platelet width (um)"	"Surface salinity (%)"	"Surface temperature"	"Tentacle length (mm)"	"Tentacle number"	"Tentilla per tentacle"	"Terminal filament desmoneme length (um)"	"Terminal filament desmoneme width (um)"	"Terminal filament length (um)"	"Terminal filament nematocyst length (um)"	"Terminal filament nematocyst width (um)"	"Terminal filament number"	"Terminal filament rhopaloneme length (um)"	"Terminal filament rhopaloneme width (um)"	"Terminal sinker length (um)"	"Terminal sinker width (um)"	"NA"	"Chaetognath selectivity"	"Copepod prey length (mm)"	"Copepod selectivity"	"Ctenophore selectivity"	"Fish selectivity"	"Gastrozooid haploneme length (um)"	"Gastrozooid haploneme width (um)"	"Gastrozooid mastigophore length (um)"	"Gastrozooid mastigophore width (um)"	"Gastrozooid stenotele length (um)"	"Gastrozooid stenotele width (um)"	"Hydromedusae selectivity"	"Number of heteroneme rows (0.3 per 0.5 zag) per side"	"Number of heteroneme rows (0.5 per 3 zag) per side"	"Number of heteroneme rows (0 per 0.3 zag) per side"	"Ostracod selectivity"	"Relative amphipod consumption"	"Relative crustacean consumption"	"Relative ctenophore consumption"	"Relative hydromedusae consumption"	"Relative ostracod consumption"	"Relative salp consumption"	"Selectivity"
"11"	"Athorybia lucida"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	2	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.825	24.4	NA	NA	NA	NA	NA	1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"Athorybia rosacea"	NA	NA	NA	60	NA	NA	NA	NA	NA	102	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.5	800	7.5	65	NA	NA	NA	NA	NA	NA	17.22	22.5	NA	NA	NA	NA	NA	NA	NA	850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	120	NA	NA	NA	6	3.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"Bargmannia amoena"	NA	NA	NA	NA	NA	NA	NA	NA	NA	5000	NA	NA	NA	NA	865.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	12.5	135	NA	NA	NA	NA	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"Bargmannia elongata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	786.666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.25	NA	9.75	120	4.5	NA	NA	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"Bassia bassensis"	NA	NA	NA	70	NA	NA	NA	NA	NA	315	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	400	8.75	75.5	8	NA	NA	NA	NA	NA	7.74	14	NA	NA	NA	NA	NA	NA	NA	408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	"Bathyphysa sibogae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	NA	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"Chelophyes appendiculata"	NA	NA	NA	36	NA	NA	NA	NA	NA	150	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	13.75	450	5.5	66	6	NA	NA	NA	NA	NA	1.24	6	NA	NA	NA	NA	NA	NA	NA	456	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Clausophyes galeata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"Cordagalma ordinatum"	NA	NA	NA	32.5	NA	NA	NA	NA	NA	45	32.5	40	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	5.5	5	NA	NA	NA	NA	2	14.8333333333333	9	52.6666666666667	20	5	12.5	6	NA	NA	NA	1.84	10.5	NA	NA	NA	NA	NA	NA	1	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Cordagalma tottoni"	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
